name,address,latitude,longitude,city,PID
Banque Zitouna Agence Sfax Route Gabes,"شارع البيئة, صفاقس, 3027",34.727694,10.743404,Sfax,32924
Banque Zitouna,"Boulevard de l'Environnement, Sfax, 3027",34.727468,10.743172,Sfax,48204
Banque Zitouna Agence Sfax Route Ain,"طريق العين, صفاقس, 3039",34.749026,10.735471,Sfax,59118
Banque Zitouna - Sfax Medina,"Route de Gremda, Sfax, 3039",34.759869,10.74168,Sfax,38604
Banque Zitouna Agence Sfax Gremda,"طريق قرمدة, صفاقس, 3039",34.760209,10.741679,Sfax,74110
Banque Zitouna Sfax Route Lafrane,"RL923, صفاقس, 3062",34.758936,10.733171,Sfax,48650
Banque Zitouna Agence Sfax Sakeit Eddayer,"ساقية الداير, 3011",34.768061,10.774019,Sfax,38431
Banque Zitouna Agence Sfax Menzel Chaker,"طريق منزل شاكر, صفاقس, 3071",34.752724,10.713851,Sfax,52344
Banque Zitouna Agence Sfax Soukra,"نهج زامبيا, صفاقس, 3064",34.722463,10.717345,Sfax,41016
Banque Zitouna - Sakiet Ezzit,"RL911, Sakiet Ezzit, 3041",34.771116,10.752722,Sfax,70982
Banque Zitouna - Sfax Chihia,"RL911, Sakiet Ezzit, 3041",34.790424,10.744404,Sfax,37085
Banque Zitouna Agence Sfax Chihia,"RL911, ساقية الزيت, 3041",34.79548,10.743202,Sfax,32928
Banque Zitouna Agence Sfax Boulila,"Tina, 3083",34.702488,10.705075,Sfax,32846
Banque Zitouna Agence Sfax Merkez Sahnoun,"صفاقس, 3076",34.792483,10.716193,Sfax,32954
Banque Zitouna Agence Sfax Sakiet Ezzit,"RN1, ساقية الزيت, 3021",34.805444,10.761374,Sfax,62095
Banque Zitouna,Sakiet Eddaier,34.786836,10.778859,Sfax,32938
Banque Zitouna,"RL911, Sakiet Ezzit, 3041",34.795696,10.742959,Sfax,43297
Banque Zitouna,"Sakiet Eddaier, 3054",34.801328,10.783843,Sfax,32964
STB Bank Sfax zitouna,"شارع علي باش حامبة, صفاقس",34.733333,10.766667,Sfax,83762
Banque Zitouna Agence Mahres,"المحرس, 3060",34.521747,10.496653,Sfax,52703
Banque Zitouna Agence Sousse Jawhara,"Avenue du 20 Mars 1956, Sousse, 4051",35.831194,10.62546,Sousse,82380
Banque Zitouna Agence Sousse Sahloul,"Sousse, 4054",35.841353,10.597924,Sousse,36081
Banque Zitouna Agence Sousse Senghor,"Sousse, 4051",35.839547,10.622467,Sousse,68365
Banque Zitouna,"Sousse, 4051",35.839614,10.622529,Sousse,47785
Banque Zitouna Agence Sousse 14 Janvier,"سوسة, 4061",35.809248,10.625377,Sousse,32943
Banque Zitouna Agence Sousse Riad,"شارع التوفيق, سوسة, 4031",35.801313,10.605767,Sousse,47775
Banque Zitouna Agence Sousse Beb Bhar,"نهج فلسطين, سوسة",35.831124,10.640198,Sousse,32904
Banque Zitouna,"Boulevard du 14 Janvier 2011, Sousse, 4000",35.854119,10.615973,Sousse,46623
Banque Zitouna Agence Hammam Sousse,"طريق تونس, حمام سوسة, 4011",35.859102,10.598038,Sousse,39976
Banque Zitouna Agence Kala Kebira,"شارع 14 جانفي, القلعة الكبرى, 4060",35.869148,10.540885,Sousse,60618
Banque Zitouna Agence Mseken,"مساكن, 4013",35.74486,10.586313,Sousse,70868
Banque Zitouna Agence Msaken Ville,"نهج بنزرت, مساكن, 4070",35.729533,10.579847,Sousse,32949
Banque Zitouna Agence Sahline,"Avenue Farhat Hached, Sahline, 5012",35.752313,10.71286,Sousse,38774
Banque Zitouna Agence Monastir Taieb Mhiri,"Avenue Taieb Mhiri, Monastir, 5089",35.766809,10.82292,Sousse,37084
Banque Zitouna Agence Monastir,"Avenue Abdessalem Trimech, Monastir, 5079",35.773761,10.831915,Sousse,51933
Banque Zitouna Agence Jemmal,"Rue Hassen El Borgi, Jamel, 5020",35.625099,10.759753,Sousse,32926
Banque Zitouna Agence Ksar Hellal,"Avenue Habib Bourguiba, Ksar Hellal, 5070",35.647633,10.885197,Sousse,75126
Banque Zitouna Agence Moknine,"Avenue Habib Bourguiba, Moknine, 5050",35.628945,10.899732,Sousse,53070
Banque Zitouna Agence Téboulba,"Teboulba, 5080",35.638545,10.969579,Sousse,32863
Banque Zitouna Agence Enfidha,"النفيضة, 4030",36.133682,10.376365,Sousse,40602
Banque Zitouna Agence Kairouan Echbilia,"القيروان, 3142",35.691641,10.102339,Sousse,52960
Banque Zitouna Agence Kairouan,"شارع أحمد دهيسي, القيروان, 3131",35.67092,10.101432,Sousse,45157
Banque Zitouna,"114 Avenue Habib Bourguiba, Mahdia, 5129",35.504857,11.063386,Sousse,76995
Banque Zitouna Agence Mahdia,"نهج جان, المهدية, 5129",35.504823,11.063476,Sousse,41086
Banque Zitouna Agence Ksour Essef,"قصور الساف, 5180",35.416551,10.998385,Sousse,76560
Banque Zitouna Agence El Jem,"El Djem, 5160",35.292699,10.708686,Sousse,51820
Banque Zitouna Agence Nabeul Napolis,"Shari' Habeeb Thamir, Nabeul, 8000",36.450935,10.726805,Sousse,38171
Banque Zitouna,"95 Avenue Habib Thameur, Nabeul, 8000",36.451292,10.727902,Sousse,32880
Banque Zitouna Agence Nabeul Place des Martyrs,"Nahj Faransa, Nabeul, 8000",36.456553,10.737962,Sousse,69543
Banque Zitouna Agence Korba,"شارع الحبيب بورقيبة, قربة",36.570956,10.857713,Sousse,32854
Banque Zitouna Agence Siliana,"شارع 18 جانفي 1952, سليانة, 6130",36.087473,9.369886,Kairouan,32912
Banque Zitouna Agence Centre Urbain Nord,"Seedi Bouzeed, 9100",35.038288,9.488107,Kairouan,82000
